permit_number,streetname,cross_street_1,cross_street_2,utility_contractor,permit_reason,utility_type,effective_date,expiration_date,status,cnn
24EXC-03587,19TH ST,TREAT AVE,FOLSOM ST,Bay Area Lightworks,Place Conduit,Sewer:Traffic Signal:Street Light:Curb Ramp,2024-09-30T00:00:00.000,2026-08-30T00:00:00.000,APPROVED,967000
24EXC-03388,BUCHANAN ST,LINDEN ST,HAYES ST,"Esquivel Grading & Paving, Inc.",Corrosion Testing,Traffic Signal:Landscaping:Sewer:Catch Basin:Street / Roadway:Sidewalk/Curb:Electric:Curb Ramp,2025-01-13T00:00:00.000,2026-07-31T00:00:00.000,APPROVED,3331000
24EXC-02284,LAFAYETTE ST,MISSION ST,MINNA ST,Michael O'Shaugnessy Construction Inc.,Replace Main,Street / Roadway:Sidewalk/Curb:AWSS:Bulb Out:Catch Basin:Sewer:Curb Ramp,2024-11-30T00:00:00.000,2026-02-15T00:00:00.000,APPROVED,7936000
24EXC-00647,SACRAMENTO ST,PRESIDIO AVE,WALNUT ST,"Precision Engineering, Inc.",Corrosion Testing,Street / Roadway:Sidewalk/Curb:Sewer:Curb Ramp,2024-05-14T00:00:00.000,2026-06-07T00:00:00.000,APPROVED,11265000
24EXC-01436,VALLEY ST,NOE ST,CASTRO ST,"Esquivel Grading & Paving, Inc.",Repair Sidewalk,Street / Roadway:Sidewalk/Curb:Sewer:Curb Ramp:Catch Basin,2024-06-03T00:00:00.000,2026-01-31T00:00:00.000,APPROVED,13129000
25EXC-00005,IVY ST,OCTAVIA ST,,R & S Construction Management Inc,Reconstruct Pavement,Electric:Street Light:Sidewalk/Curb:Sewer:Bulb Out:Curb Ramp,2025-02-17T00:00:00.000,2026-05-31T00:00:00.000,APPROVED,25929000
24EXC-02547,06TH AVE,ANZA ST,BALBOA ST,"JDB Construction, INC.",Corrosion Testing,Street / Roadway:Sewer:Curb Ramp:Catch Basin:Sidewalk/Curb,2024-09-01T00:00:00.000,2026-02-02T00:00:00.000,APPROVED,318000
24EXC-00647,ELLIS ST,FRANKLIN ST,GOUGH ST,"Precision Engineering, Inc.",Corrosion Testing,Street / Roadway:Sidewalk/Curb:Sewer:Curb Ramp,2024-05-14T00:00:00.000,2026-06-07T00:00:00.000,APPROVED,5181000
24EXC-04102,18TH AVE,GEARY BLVD,ANZA ST,"Cratus, Inc.",Install New Main,Sidewalk/Curb:Electric:Water Service:Sewer,2025-01-02T00:00:00.000,2027-06-29T00:00:00.000,ACTIVE,830000
25EXC-00254,DR CARLTON B GOODLETT PL,GROVE ST \ POLK ST,,R & S Construction Management Inc,Install New Curb Ramp,Electric:Sidewalk/Curb:Sewer:Curb Ramp,2025-03-03T00:00:00.000,2026-12-31T00:00:00.000,APPROVED,24437000
24EXC-01872,HATTIE ST,CORBETT AVE,MARKET ST,"Esquivel Grading & Paving, Inc.",Reconstruct Pavement,Curb Ramp:Sidewalk/Curb:Street / Roadway,2024-08-12T00:00:00.000,2025-08-08T00:00:00.000,APPROVED,6776000
24EXC-01872,NOE ST,DUBOCE AVE,14TH ST,"Esquivel Grading & Paving, Inc.",Reconstruct Pavement,Curb Ramp:Sidewalk/Curb:Street / Roadway,2024-08-12T00:00:00.000,2025-08-08T00:00:00.000,APPROVED,9607000
24EXC-03498,CESAR CHAVEZ ST,MISSISSIPPI ST,,Mitchell Engineering. Inc.,Install service,Sidewalk/Curb:Street / Roadway:Other:Electric:AWSS,2024-12-02T00:00:00.000,2026-06-05T00:00:00.000,APPROVED,23612000
25EXC-00538,23RD ST,SOUTH VAN NESS AVE,CAPP ST,"Precision Engineering, Inc.",Corrosion Testing,Sidewalk/Curb:Street / Roadway:Sewer:Curb Ramp,2025-02-11T00:00:00.000,2025-06-05T00:00:00.000,APPROVED,1263000
23EXC-02930,18TH ST,HAMPSHIRE ST,YORK ST,"JMB Construction, Inc.",Replace Main,AWSS:Water Service:Sidewalk/Curb:Sewer:Street / Roadway,2023-08-18T00:00:00.000,2026-01-11T00:00:00.000,APPROVED,867000
25EXC-00254,CYRIL MAGNIN ST,EDDY ST,,R & S Construction Management Inc,Install New Curb Ramp,Electric:Sidewalk/Curb:Sewer:Curb Ramp,2025-03-03T00:00:00.000,2026-12-31T00:00:00.000,APPROVED,24893000
24EXC-00151,JOOST AVE,EDNA ST,FOERSTER ST,M Squared Construction,Install New Main,Curb Ramp:Water Service,2024-02-21T00:00:00.000,2026-03-06T00:00:00.000,ACTIVE,7612000
25EXC-00254,CYRIL MAGNIN ST,05TH ST \ MARKET ST,EDDY ST,R & S Construction Management Inc,Install New Curb Ramp,Electric:Sidewalk/Curb:Sewer:Curb Ramp,2025-03-03T00:00:00.000,2026-12-31T00:00:00.000,APPROVED,4569000
24EXC-03388,JUAN BAUTISTA CIR,FONT BLVD,BUCARELI DR,"Esquivel Grading & Paving, Inc.",Corrosion Testing,Traffic Signal:Landscaping:Sewer:Catch Basin:Street / Roadway:Sidewalk/Curb:Electric:Curb Ramp,2025-01-13T00:00:00.000,2026-07-31T00:00:00.000,APPROVED,7630000
23EXC-02930,19TH ST,HAMPSHIRE ST,,"JMB Construction, Inc.",Replace Main,AWSS:Water Service:Sidewalk/Curb:Sewer:Street / Roadway,2023-08-18T00:00:00.000,2026-01-11T00:00:00.000,APPROVED,24005000
24EXC-02284,LAFAYETTE ST,MINNA ST,NATOMA ST,Michael O'Shaugnessy Construction Inc.,Replace Main,Street / Roadway:Sidewalk/Curb:AWSS:Bulb Out:Catch Basin:Sewer:Curb Ramp,2024-11-30T00:00:00.000,2026-02-15T00:00:00.000,APPROVED,7937000
25EXC-00538,16TH ST,GUERRERO ST,,"Precision Engineering, Inc.",Corrosion Testing,Sidewalk/Curb:Street / Roadway:Sewer:Curb Ramp,2025-02-11T00:00:00.000,2025-06-05T00:00:00.000,APPROVED,25698000
24EXC-02284,MARIPOSA ST,HAMPSHIRE ST,YORK ST,Michael O'Shaugnessy Construction Inc.,Replace Main,Street / Roadway:Sidewalk/Curb:AWSS:Bulb Out:Catch Basin:Sewer:Curb Ramp,2024-11-30T00:00:00.000,2026-02-15T00:00:00.000,APPROVED,8731000
24EXC-01872,DUBOCE AVE,DIVISADERO ST,ALPINE TER,"Esquivel Grading & Paving, Inc.",Reconstruct Pavement,Curb Ramp:Sidewalk/Curb:Street / Roadway,2024-08-12T00:00:00.000,2025-08-08T00:00:00.000,APPROVED,4994000
24EXC-04679,NATOMA ST,06TH ST,RUSS ST,"Esquivel Grading & Paving, Inc.",Replace Sidewalk,Other:Street Light:Street / Roadway:Sidewalk/Curb:Landscaping:Sewer:Catch Basin:Electric:Bulb Out,2025-01-01T00:00:00.000,2025-12-31T00:00:00.000,APPROVED,9512000
24EXC-04102,GEARY BLVD,PARK PRESIDIO BLVD,,"Cratus, Inc.",Install New Main,Sidewalk/Curb:Electric:Water Service:Sewer,2025-01-02T00:00:00.000,2027-06-29T00:00:00.000,ACTIVE,27483000
24EXC-00647,SANTIAGO ST,16TH AVE,17TH AVE,"Precision Engineering, Inc.",Corrosion Testing,Street / Roadway:Sidewalk/Curb:Sewer:Curb Ramp,2024-05-14T00:00:00.000,2026-06-07T00:00:00.000,APPROVED,11608000
25EXC-00538,GUERRERO ST,15TH ST,16TH ST,"Precision Engineering, Inc.",Corrosion Testing,Sidewalk/Curb:Street / Roadway:Sewer:Curb Ramp,2025-02-11T00:00:00.000,2025-06-05T00:00:00.000,APPROVED,6577201
24EXC-03587,22ND ST,FOLSOM ST,SHOTWELL ST,Bay Area Lightworks,Place Conduit,Sewer:Traffic Signal:Street Light:Curb Ramp,2024-09-30T00:00:00.000,2026-08-30T00:00:00.000,APPROVED,1187000
24EXC-03498,EVANS AVE,MARIN ST,CESAR CHAVEZ ST,Mitchell Engineering. Inc.,Install service,Sidewalk/Curb:Street / Roadway:Other:Electric:AWSS,2024-12-02T00:00:00.000,2026-06-05T00:00:00.000,APPROVED,5341000
24EXC-03388,LAKE ST,16TH AVE,17TH AVE,"Esquivel Grading & Paving, Inc.",Corrosion Testing,Traffic Signal:Landscaping:Sewer:Catch Basin:Street / Roadway:Sidewalk/Curb:Electric:Curb Ramp,2025-01-13T00:00:00.000,2026-07-31T00:00:00.000,APPROVED,8025000
23EXC-05069,LARKIN ST,EDDY ST,WILLOW ST,Pacific Gas & Electric,Place Conduit,Electric,2025-04-07T00:00:00.000,2025-07-15T00:00:00.000,ACTIVE,8126000
24EXC-00647,ORTEGA ST,15TH AVE \ ORTEGA WAY,16TH AVE,"Precision Engineering, Inc.",Corrosion Testing,Street / Roadway:Sidewalk/Curb:Sewer:Curb Ramp,2024-05-14T00:00:00.000,2026-06-07T00:00:00.000,APPROVED,10002000
25EXC-01096,ALABAMA ST,RIPLEY ST,ESMERALDA AVE \ WALTHAM ST,Pacific Gas & Electric,Other,Gas,2025-05-05T00:00:00.000,2025-06-02T00:00:00.000,ACTIVE,2128000
25EXC-00005,IVY ST,LAGUNA ST,,R & S Construction Management Inc,Reconstruct Pavement,Electric:Street Light:Sidewalk/Curb:Sewer:Bulb Out:Curb Ramp,2025-02-17T00:00:00.000,2026-05-31T00:00:00.000,APPROVED,25935000
24EXC-00238,FOLSOM ST,JUNIPER ST,11TH ST,Mitchell Engineering. Inc.,Other,Catch Basin:Other:Traffic Signal:Landscaping:Street / Roadway:Electric:Curb Ramp:Sidewalk/Curb:Sewer,2024-04-01T00:00:00.000,2026-11-06T00:00:00.000,APPROVED,5682000
24EXC-04102,GEARY BLVD,14TH AVE,15TH AVE,"Cratus, Inc.",Install New Main,Sidewalk/Curb:Electric:Water Service:Sewer,2025-01-02T00:00:00.000,2027-06-29T00:00:00.000,ACTIVE,6071201
24EXC-04022,CORTLAND AVE,ANDOVER ST,MOULTRIE ST,bsm - test 2,Replace Sidewalk,Curb Ramp:Catch Basin:Traffic Signal:Street / Roadway:Sidewalk/Curb:Curb Ramp:Catch Basin:Traffic Signal:Street / Roadway:Sidewalk/Curb:Sidewalk/Curb,2024-10-17T00:00:00.000,2025-10-17T00:00:00.000,APPROVED,4426000
24EXC-00647,SACRAMENTO ST,FILLMORE ST,STEINER ST,"Precision Engineering, Inc.",Corrosion Testing,Street / Roadway:Sidewalk/Curb:Sewer:Curb Ramp,2024-05-14T00:00:00.000,2026-06-07T00:00:00.000,APPROVED,11257000
23EXC-02930,POTRERO AVE,23RD ST,24TH ST,"JMB Construction, Inc.",Replace Main,AWSS:Water Service:Sidewalk/Curb:Sewer:Street / Roadway,2023-08-18T00:00:00.000,2026-01-11T00:00:00.000,APPROVED,10671000
24EXC-01436,DIAMOND HEIGHTS BLVD,DUNCAN ST,GOLD MINE DR,"Esquivel Grading & Paving, Inc.",Repair Sidewalk,Street / Roadway:Sidewalk/Curb:Sewer:Curb Ramp:Catch Basin,2024-06-03T00:00:00.000,2026-01-31T00:00:00.000,APPROVED,4777201
24EXC-01436,WEBSTER ST,HERMANN ST,GERMANIA ST,"Esquivel Grading & Paving, Inc.",Repair Sidewalk,Street / Roadway:Sidewalk/Curb:Sewer:Curb Ramp:Catch Basin,2024-06-03T00:00:00.000,2026-01-31T00:00:00.000,APPROVED,13520000
24EXC-01436,CESAR CHAVEZ ST,DIAMOND ST,DOUGLASS ST,"Esquivel Grading & Paving, Inc.",Repair Sidewalk,Street / Roadway:Sidewalk/Curb:Sewer:Curb Ramp:Catch Basin,2024-06-03T00:00:00.000,2026-01-31T00:00:00.000,APPROVED,2499000
24EXC-02547,TREAT AVE,ALABAMA ST,15TH ST,"JDB Construction, INC.",Corrosion Testing,Street / Roadway:Sewer:Curb Ramp:Catch Basin:Sidewalk/Curb,2024-09-01T00:00:00.000,2026-02-02T00:00:00.000,APPROVED,12680000
24EXC-00994,CLAY ST,GRANT AVE,,R & S Construction Management Inc,Install New Curb Ramp,Traffic Signal:Street Light:Street / Roadway:Sidewalk/Curb:Curb Ramp,2024-07-30T00:00:00.000,2025-12-31T00:00:00.000,APPROVED,30770000
24EXC-02547,POST ST,VAN NESS AVE,FRANKLIN ST \ PETER YORKE WAY,"JDB Construction, INC.",Corrosion Testing,Street / Roadway:Sewer:Curb Ramp:Catch Basin:Sidewalk/Curb,2024-09-01T00:00:00.000,2026-02-02T00:00:00.000,APPROVED,10641000
24EXC-02284,SAN BRUNO AVE,SOMERSET ST,TEDDY AVE \ WABASH TER,Michael O'Shaugnessy Construction Inc.,Replace Main,Street / Roadway:Sidewalk/Curb:AWSS:Bulb Out:Catch Basin:Sewer:Curb Ramp,2024-11-30T00:00:00.000,2026-02-15T00:00:00.000,APPROVED,11396000
24EXC-03388,BEAUMONT AVE,ANZA ST,LONE MOUNTAIN TER,"Esquivel Grading & Paving, Inc.",Corrosion Testing,Traffic Signal:Landscaping:Sewer:Catch Basin:Street / Roadway:Sidewalk/Curb:Electric:Curb Ramp,2025-01-13T00:00:00.000,2026-07-31T00:00:00.000,APPROVED,2873000
24EXC-01436,WEBSTER ST,GERMANIA ST,WALLER ST,"Esquivel Grading & Paving, Inc.",Repair Sidewalk,Street / Roadway:Sidewalk/Curb:Sewer:Curb Ramp:Catch Basin,2024-06-03T00:00:00.000,2026-01-31T00:00:00.000,APPROVED,13521000
25EXC-01863,MINNESOTA ST,23RD ST,24TH ST,Ronan Construction Inc.,Install new curb and gutter,Street Light:Sewer:Electric:Street / Roadway:Sidewalk/Curb:Landscaping:AWSS:Curb Ramp:Catch Basin,2025-04-14T00:00:00.000,2025-12-31T00:00:00.000,APPROVED,9058000
24EXC-01669,SAN BRUNO AVE,25TH ST,SAN BRUNO AVE,"Esquivel Grading & Paving, Inc.",Reconstruct Pavement,Sidewalk/Curb:Street / Roadway:Sewer:Curb Ramp:Catch Basin,2024-07-22T00:00:00.000,2026-01-30T00:00:00.000,APPROVED,11362000
24EXC-04808,FREMONT ST,FRONT ST \ MARKET ST,,R & S Construction Management Inc,Install New Curb Ramp,Curb Ramp:Bulb Out:AWSS:Air Raid Siren:Traffic Signal:Street Light:Street / Roadway:Sidewalk/Curb:Sewer:Catch Basin,2025-02-24T00:00:00.000,2027-07-08T00:00:00.000,APPROVED,30730000
23EXC-02930,YORK ST,25TH ST,26TH ST,"JMB Construction, Inc.",Replace Main,AWSS:Water Service:Sidewalk/Curb:Sewer:Street / Roadway,2023-08-18T00:00:00.000,2026-01-11T00:00:00.000,APPROVED,13774000
24EXC-03388,CARDENAS AVE,CRESPI DR,,"Esquivel Grading & Paving, Inc.",Corrosion Testing,Traffic Signal:Landscaping:Sewer:Catch Basin:Street / Roadway:Sidewalk/Curb:Electric:Curb Ramp,2025-01-13T00:00:00.000,2026-07-31T00:00:00.000,APPROVED,23041000
25EXC-00254,POST ST,TRADER VIC ALY,SHANNON ST,R & S Construction Management Inc,Install New Curb Ramp,Electric:Sidewalk/Curb:Sewer:Curb Ramp,2025-03-03T00:00:00.000,2026-12-31T00:00:00.000,APPROVED,10632000
24EXC-00671,STANYAN ST,STANYAN BLVD \ TURK BLVD,GOLDEN GATE AVE,Bay Area Lightworks,Place Conduit,Sidewalk/Curb:Street Light:Traffic Signal:Bulb Out:Curb Ramp,2024-04-08T00:00:00.000,2026-04-07T00:00:00.000,APPROVED,12079000
25EXC-02225,BRYANT ST,05TH ST \ I-80 E ON RAMP,OAK GROVE ST,J. Flores Construction Co.,Replace Service,Sewer,2025-05-05T00:00:00.000,2025-05-18T00:00:00.000,APPROVED,3286000
24EXC-01990,TAYLOR ST,TURK ST,EDDY ST,"Esquivel Grading & Paving, Inc.",Install New Curb Ramp,AWSS:Street / Roadway:Street Light:Traffic Signal:Pavement Preservation:Sewer:Landscaping:Electric:Bulb Out:Curb Ramp,2024-06-11T00:00:00.000,2025-06-13T00:00:00.000,APPROVED,12427000
24EXC-02265,SHOTWELL ST,CESAR CHAVEZ ST,PRECITA AVE,Mitchell Engineering. Inc.,Install New Main,Street / Roadway:Sidewalk/Curb:Water Service:Curb Ramp:Sewer,2024-08-05T00:00:00.000,2026-06-09T00:00:00.000,APPROVED,11845000
23EXC-02930,POTRERO AVE,22ND ST,23RD ST,"JMB Construction, Inc.",Replace Main,AWSS:Water Service:Sidewalk/Curb:Sewer:Street / Roadway,2023-08-18T00:00:00.000,2026-01-11T00:00:00.000,APPROVED,10669201
25EXC-02238,31ST AVE,ORTEGA ST,PACHECO ST,Pacific Gas & Electric,Repair Leak,Gas,2025-05-05T00:00:00.000,2025-07-03T00:00:00.000,APPROVED,1690000
25EXC-00745,MISSION ST,13TH ST \ DUBOCE AVE \ HWY 101 NORTHBOUND RAMP \ OTIS ST,ERIE ST,"NTK Construction, Inc",Other,Street Light:Street / Roadway:Catch Basin:Traffic Signal:Sidewalk/Curb:Sewer:Curb Ramp:Bulb Out,2025-03-10T00:00:00.000,2027-01-31T00:00:00.000,APPROVED,9112201
24EXC-02284,MARIPOSA ST,UTAH ST,POTRERO AVE,Michael O'Shaugnessy Construction Inc.,Replace Main,Street / Roadway:Sidewalk/Curb:AWSS:Bulb Out:Catch Basin:Sewer:Curb Ramp,2024-11-30T00:00:00.000,2026-02-15T00:00:00.000,APPROVED,8729000
24EXC-01669,CESAR CHAVEZ ST,TENNESSEE ST,MINNESOTA ST,"Esquivel Grading & Paving, Inc.",Reconstruct Pavement,Sidewalk/Curb:Street / Roadway:Sewer:Curb Ramp:Catch Basin,2024-07-22T00:00:00.000,2026-01-30T00:00:00.000,APPROVED,2469000
24EXC-02547,IRVING ST,15TH AVE,16TH AVE,"JDB Construction, INC.",Corrosion Testing,Street / Roadway:Sewer:Curb Ramp:Catch Basin:Sidewalk/Curb,2024-09-01T00:00:00.000,2026-02-02T00:00:00.000,APPROVED,7292000
25EXC-00538,GUERRERO ST,18TH ST,19TH ST,"Precision Engineering, Inc.",Corrosion Testing,Sidewalk/Curb:Street / Roadway:Sewer:Curb Ramp,2025-02-11T00:00:00.000,2025-06-05T00:00:00.000,APPROVED,6580101
25EXC-01096,PRENTISS ST,START: 1-80 BLOCK,CHAPMAN ST,Pacific Gas & Electric,Other,Gas,2025-05-05T00:00:00.000,2025-06-02T00:00:00.000,ACTIVE,10752000
24EXC-00151,MONTEREY BLVD,DETROIT ST,EDNA ST,M Squared Construction,Install New Main,Curb Ramp:Water Service,2024-02-21T00:00:00.000,2026-03-06T00:00:00.000,ACTIVE,9275202
23EXC-02930,HAMPSHIRE ST,23RD ST,24TH ST,"JMB Construction, Inc.",Replace Main,AWSS:Water Service:Sidewalk/Curb:Sewer:Street / Roadway,2023-08-18T00:00:00.000,2026-01-11T00:00:00.000,APPROVED,6656000
25EXC-00745,DUBOCE AVE,13TH ST \ HWY 101 NORTHBOUND RAMP \ MISSION ST \ OTIS ST,STEVENSON ST,"NTK Construction, Inc",Other,Street Light:Street / Roadway:Catch Basin:Traffic Signal:Sidewalk/Curb:Sewer:Curb Ramp:Bulb Out,2025-03-10T00:00:00.000,2027-01-31T00:00:00.000,APPROVED,4978201
25EXC-02089,STEVENSON ST,06TH ST,07TH ST \ ODD FELLOWS WAY,A. Ruiz Construction Co.,Install service,Sidewalk/Curb:Street / Roadway,2025-04-22T00:00:00.000,2025-05-16T00:00:00.000,APPROVED,12171000
24EXC-03150,SAN BRUNO AVE,WOOLSEY ST,DWIGHT ST,CF Contracting,Reconstruct Pavement,Curb Ramp:Catch Basin:Traffic Signal:Street / Roadway:Sidewalk/Curb,2024-10-14T00:00:00.000,2025-06-09T00:00:00.000,APPROVED,11380000
24EXC-04370,TURK ST,MARKET ST \ MASON ST,TAYLOR ST,"Esquivel Grading & Paving, Inc.",Pavement Preservation,Traffic Signal:Sewer:Sidewalk/Curb:Electric:Landscaping:Curb Ramp:Bulb Out,2024-12-05T00:00:00.000,2025-12-04T00:00:00.000,APPROVED,12716000
24EXC-01669,16TH ST,DE HARO ST,RHODE ISLAND ST,"Esquivel Grading & Paving, Inc.",Reconstruct Pavement,Sidewalk/Curb:Street / Roadway:Sewer:Curb Ramp:Catch Basin,2024-07-22T00:00:00.000,2026-01-30T00:00:00.000,APPROVED,709000
24EXC-04484,KITTREDGE TER,TURK BLVD,,Michael O'Shaugnessy Construction Inc.,Other,Street / Roadway:Sidewalk/Curb:Sewer:Curb Ramp:Catch Basin:Bulb Out,2025-02-10T00:00:00.000,2026-04-15T00:00:00.000,APPROVED,26465000
24EXC-02891,MCALLISTER ST,BRODERICK ST,BAKER ST,Basset Engineering,Install New Main,Street / Roadway:Curb Ramp:Sewer,2024-09-23T00:00:00.000,2025-10-03T00:00:00.000,APPROVED,8905000
24EXC-04970,19TH ST,YUKON ST,DANVERS ST,"Bauman Landscape Construction, Inc.",Replace Sidewalk,Water Service:Pavement Preservation:Sewer:Catch Basin:Curb Ramp:Sidewalk/Curb:AWSS,2025-01-13T00:00:00.000,2025-09-09T00:00:00.000,APPROVED,993000
24EXC-03150,BERKELEY WAY,DIAMOND HEIGHTS BLVD,,CF Contracting,Reconstruct Pavement,Curb Ramp:Catch Basin:Traffic Signal:Street / Roadway:Sidewalk/Curb,2024-10-14T00:00:00.000,2025-06-09T00:00:00.000,APPROVED,21991000
24EXC-02284,BALBOA ST,25TH AVE,26TH AVE,Michael O'Shaugnessy Construction Inc.,Replace Main,Street / Roadway:Sidewalk/Curb:AWSS:Bulb Out:Catch Basin:Sewer:Curb Ramp,2024-11-30T00:00:00.000,2026-02-15T00:00:00.000,APPROVED,2670000
24EXC-00647,OFARRELL ST,DIVISADERO ST,BRODERICK ST,"Precision Engineering, Inc.",Corrosion Testing,Street / Roadway:Sidewalk/Curb:Sewer:Curb Ramp,2024-05-14T00:00:00.000,2026-06-07T00:00:00.000,APPROVED,9742000
24EXC-04102,GEARY BLVD,FUNSTON AVE,PARK PRESIDIO BLVD,"Cratus, Inc.",Install New Main,Sidewalk/Curb:Electric:Water Service:Sewer,2025-01-02T00:00:00.000,2027-06-29T00:00:00.000,ACTIVE,6069201
23EXC-01852,GRAFTON AVE,GRANADA AVE,MIRAMAR AVE,Pacific Gas & Electric,Replace Main,Gas,2025-06-02T00:00:00.000,2025-10-24T00:00:00.000,APPROVED,6360000
24EXC-03293,02ND AVE,CABRILLO ST,FULTON ST,Ronan Construction Inc.,Other,Street / Roadway:Sidewalk/Curb:Traffic Signal:Sewer:Curb Ramp,2024-10-07T00:00:00.000,2025-08-03T00:00:00.000,APPROVED,126000
24EXC-02284,HAYES ST,ASHBURY ST,CLAYTON ST,Michael O'Shaugnessy Construction Inc.,Replace Main,Street / Roadway:Sidewalk/Curb:AWSS:Bulb Out:Catch Basin:Sewer:Curb Ramp,2024-11-30T00:00:00.000,2026-02-15T00:00:00.000,APPROVED,6831000
24EXC-00647,EDDY ST,GOUGH ST,LAGUNA ST,"Precision Engineering, Inc.",Corrosion Testing,Street / Roadway:Sidewalk/Curb:Sewer:Curb Ramp,2024-05-14T00:00:00.000,2026-06-07T00:00:00.000,APPROVED,5068000
24EXC-00647,PACHECO ST,34TH AVE,35TH AVE,"Precision Engineering, Inc.",Corrosion Testing,Street / Roadway:Sidewalk/Curb:Sewer:Curb Ramp,2024-05-14T00:00:00.000,2026-06-07T00:00:00.000,APPROVED,10106000
24EXC-04484,WALNUT ST,SACRAMENTO ST,CALIFORNIA ST,Michael O'Shaugnessy Construction Inc.,Other,Street / Roadway:Sidewalk/Curb:Sewer:Curb Ramp:Catch Basin:Bulb Out,2025-02-10T00:00:00.000,2026-04-15T00:00:00.000,APPROVED,13385000
24EXC-04484,TAMALPAIS TER,TURK BLVD,,Michael O'Shaugnessy Construction Inc.,Other,Street / Roadway:Sidewalk/Curb:Sewer:Curb Ramp:Catch Basin:Bulb Out,2025-02-10T00:00:00.000,2026-04-15T00:00:00.000,APPROVED,26460000
25EXC-00254,HARRISON ST,MERLIN ST,,R & S Construction Management Inc,Install New Curb Ramp,Electric:Sidewalk/Curb:Sewer:Curb Ramp,2025-03-03T00:00:00.000,2026-12-31T00:00:00.000,APPROVED,23931000
24EXC-04484,MISSION ST,COLLEGE AVE \ CRESCENT AVE,COLLEGE TER,Michael O'Shaugnessy Construction Inc.,Other,Street / Roadway:Sidewalk/Curb:Sewer:Curb Ramp:Catch Basin:Bulb Out,2025-02-10T00:00:00.000,2026-04-15T00:00:00.000,APPROVED,9147101
24EXC-00238,HAWTHORNE ST,HOWARD ST,FOLSOM ST,Mitchell Engineering. Inc.,Other,Catch Basin:Other:Traffic Signal:Landscaping:Street / Roadway:Electric:Curb Ramp:Sidewalk/Curb:Sewer,2024-04-01T00:00:00.000,2026-11-06T00:00:00.000,APPROVED,6809000
24EXC-02284,HAYES ST,MASONIC AVE,ASHBURY ST,Michael O'Shaugnessy Construction Inc.,Replace Main,Street / Roadway:Sidewalk/Curb:AWSS:Bulb Out:Catch Basin:Sewer:Curb Ramp,2024-11-30T00:00:00.000,2026-02-15T00:00:00.000,APPROVED,6830000
24EXC-00224,GOLD MINE DR,TOPAZ WAY,,A. Ruiz Construction Co.,Replace Main,Sidewalk/Curb:Catch Basin:Sewer:Street / Roadway:Curb Ramp:Pavement Preservation:Water Service,2024-03-05T00:00:00.000,2025-08-31T00:00:00.000,ACTIVE,22001000
24EXC-00224,GOLD MINE DR,ORA WAY,,A. Ruiz Construction Co.,Replace Main,Sidewalk/Curb:Catch Basin:Sewer:Street / Roadway:Curb Ramp:Pavement Preservation:Water Service,2024-03-05T00:00:00.000,2025-08-31T00:00:00.000,ACTIVE,22034000
24EXC-04970,PANORAMA DR,CITYVIEW WAY,STARVIEW WAY,"Bauman Landscape Construction, Inc.",Replace Sidewalk,Water Service:Pavement Preservation:Sewer:Catch Basin:Curb Ramp:Sidewalk/Curb:AWSS,2025-01-13T00:00:00.000,2025-09-09T00:00:00.000,APPROVED,10238000
24EXC-01436,WHITNEY ST,FAIRMOUNT ST,CHENERY ST \ MIGUEL ST,"Esquivel Grading & Paving, Inc.",Repair Sidewalk,Street / Roadway:Sidewalk/Curb:Sewer:Curb Ramp:Catch Basin,2024-06-03T00:00:00.000,2026-01-31T00:00:00.000,APPROVED,13610000
23EXC-01852,LAKEVIEW AVE,GRANADA AVE,MIRAMAR AVE,Pacific Gas & Electric,Replace Main,Gas,2025-06-02T00:00:00.000,2025-10-24T00:00:00.000,APPROVED,8069000
24EXC-03388,BUCHANAN ST,FELL ST,LINDEN ST,"Esquivel Grading & Paving, Inc.",Corrosion Testing,Traffic Signal:Landscaping:Sewer:Catch Basin:Street / Roadway:Sidewalk/Curb:Electric:Curb Ramp,2025-01-13T00:00:00.000,2026-07-31T00:00:00.000,APPROVED,3330000
23EXC-01009,DIVISADERO ST,GOLDEN GATE AVE,TURK ST,Bay Area Lightworks,Place Conduit,Sidewalk/Curb:Traffic Signal:Street Light:Curb Ramp,2023-06-19T00:00:00.000,2025-06-17T00:00:00.000,APPROVED,4807101
24EXC-00238,HARRIET ST,FOLSOM ST,HARRISON ST,Mitchell Engineering. Inc.,Other,Catch Basin:Other:Traffic Signal:Landscaping:Street / Roadway:Electric:Curb Ramp:Sidewalk/Curb:Sewer,2024-04-01T00:00:00.000,2026-11-06T00:00:00.000,APPROVED,6700000
24EXC-00238,FOLSOM ST,10TH ST,JUNIPER ST,Mitchell Engineering. Inc.,Other,Catch Basin:Other:Traffic Signal:Landscaping:Street / Roadway:Electric:Curb Ramp:Sidewalk/Curb:Sewer,2024-04-01T00:00:00.000,2026-11-06T00:00:00.000,APPROVED,5681000
24EXC-01436,NOE ST,29TH ST,DAY ST,"Esquivel Grading & Paving, Inc.",Repair Sidewalk,Street / Roadway:Sidewalk/Curb:Sewer:Curb Ramp:Catch Basin,2024-06-03T00:00:00.000,2026-01-31T00:00:00.000,APPROVED,9638000
