permit_number,streetname,cross_street_1,cross_street_2,utility_contractor,permit_reason,utility_type,effective_date,expiration_date,status,cnn,latitude,longitude
25EXC-02182,WILLARD ST,FREDERICK ST,CARL ST,Pacific Gas & Electric,Replace Pole,Electric:Electric:Electric,2025-05-05,2025-06-02,APPROVED,13641000,37.7640371,-122.4541986
25EXC-02115,LAKE MERCED BLVD,BROTHERHOOD WAY,LAKE MERCED HILL,Flock Safety,Install New Pole,Other,2025-05-19,2025-06-17,APPROVED,8052101,37.7094292,-122.4852168
25EXC-02118,32ND AVE,ORTEGA ST,PACHECO ST,Pacific Gas & Electric,Other,Gas,2025-05-30,2025-06-27,APPROVED,1714000,37.7851587,-122.4926427
25EXC-02164,ELLIS ST,CYRIL MAGNIN ST,MASON ST,J. Flores Construction Co.,Replace Main,Sewer,2025-05-05,2025-05-18,ACTIVE,5171000,37.7813806,-122.4402682
25EXC-02186,FILBERT ST,FRANKLIN ST,GOUGH ST,Pacific Gas & Electric,Replace Pole,Electric,2025-06-05,2025-07-03,APPROVED,5516000,37.8009394,-122.4128883
25EXC-01779,CLAY ST,HYDE ST,TORRENS CT,Pacific Gas & Electric,Other,Gas,2025-05-02,2025-05-30,ACTIVE,4104001,37.7939619,-122.4087337
25EXC-02191,14TH ST,SHOTWELL ST,SOUTH VAN NESS AVE,Pacific Gas & Electric,Place Conduit,Electric,2025-05-09,2025-05-11,APPROVED,581000,37.7682170,-122.4210094
25EXC-02163,GUERRERO ST,24TH ST,25TH ST,J. Flores Construction Co.,Replace Service,Sewer,2025-04-28,2025-05-11,ACTIVE,6586101,37.7599714,-122.4235988
25EXC-02182,CARL ST,STANYAN ST,WILLARD ST,Pacific Gas & Electric,Replace Pole,Electric:Electric:Electric,2025-05-05,2025-06-02,APPROVED,3697000,37.7653132,-122.4538538
25EXC-02180,LOMBARD ST,FILLMORE ST,STEINER ST,Pacific Gas & Electric,Other,Gas,2025-05-02,2025-05-30,APPROVED,8460101,37.8020282,-122.4194750
25EXC-01844,STOCKTON ST,SACRAMENTO ST \ STOCKTON TUNL,CLAY ST,Pacific Gas & Electric,Repair Leak,Gas,2025-04-22,2025-05-20,ACTIVE,12204000,37.8074432,-122.4106160
25EXC-02193,36TH AVE,UNNAMED 010,GEARY BLVD,Pacific Gas & Electric,Repair Leak,Gas,2025-05-20,2025-06-17,APPROVED,1790000,37.7631855,-122.4953917
25EXC-02166,ALABAMA ST,MULLEN AVE,MONTCALM ST,J. Flores Construction Co.,Replace Service,Sewer,2025-04-28,2025-05-11,ACTIVE,2124000,37.7453241,-122.4104763
25EXC-01823,NOE ST,15TH ST,BEAVER ST,Pacific Gas & Electric,Install new box,Electric,2025-04-28,2025-05-26,ACTIVE,9610000,37.7642671,-122.4331047
25EXC-01906,18TH AVE,PACHECO ST,QUINTARA ST,Pacific Gas & Electric,Spot Paving,Electric,2025-04-21,2025-05-19,ACTIVE,842000,37.7426417,-122.4746087
25EXC-01807,PAGE ST,BAKER ST,LYON ST,Pacific Gas & Electric,Spot Paving,Electric,2025-04-15,2025-05-13,ACTIVE,10181000,37.7741980,-122.4216066
25EXC-02026,24TH ST,SAN BRUNO AVE,UTAH ST,Pacific Gas & Electric,Repair Leak,Gas,2025-05-21,2025-06-18,APPROVED,1328000,37.7541004,-122.3881595
25EXC-02109,VALLEJO ST,RUSSIAN HILL PL,JONES ST,CableCom,Install New Service,Cable TV,2025-04-23,2025-05-21,ACTIVE,13102000,37.7994943,-122.4015785
25EXC-02109,VALLEJO ST,JONES ST,LEAVENWORTH ST,CableCom,Install New Service,Cable TV,2025-04-23,2025-05-21,ACTIVE,13103000,37.7994943,-122.4015785
25EXC-02189,MONTEREY BLVD,FOERSTER ST,GENNESSEE ST,J. Flores Construction Co.,Replace Service,Sewer,2025-04-29,2025-05-12,ACTIVE,9278201,37.7300663,-122.4616978
25EXC-02026,24TH ST,SAN BRUNO AVE,,Pacific Gas & Electric,Repair Leak,Gas,2025-05-21,2025-06-18,APPROVED,23721000,37.7541004,-122.3881595
25EXC-02109,JONES ST,VALLEJO ST,GREEN ST,CableCom,Install New Service,Cable TV,2025-04-23,2025-05-21,ACTIVE,7588000,37.7816214,-122.4121472
25EXC-02109,JONES ST,VALLEJO ST,,CableCom,Install New Service,Cable TV,2025-04-23,2025-05-21,ACTIVE,25268000,37.7816214,-122.4121472
25EXC-02062,MAYWOOD DR,RAVENWOOD DR,BRENTWOOD AVE,Pacific Gas & Electric,Corrosion Testing,Street / Roadway,2025-04-30,2025-05-28,ACTIVE,8885000,37.7336801,-122.4620162
25EXC-02109,FLORENCE ST,START: 1-99 BLOCK,VALLEJO ST,CableCom,Install New Service,Cable TV,2025-04-23,2025-05-21,ACTIVE,5614000,37.7974928,-122.4147632
25EXC-02188,BRODERICK ST,FILBERT ST,GREENWICH ST,J. Flores Construction Co.,Replace Service,Sewer,2025-04-29,2025-05-12,ACTIVE,3216000,37.7973974,-122.4440496
25EXC-02109,JONES ST,GLOVER ST,VALLEJO ST,CableCom,Install New Service,Cable TV,2025-04-23,2025-05-21,ACTIVE,7587000,37.7816214,-122.4121472
25EXC-02109,GREEN ST,END: WEST,JONES ST,CableCom,Install New Service,Cable TV,2025-04-23,2025-05-21,ACTIVE,6460000,37.7994798,-122.4092807
24EXC-04927,SOUTH VAN NESS AVE,18TH ST,19TH ST,Mitchell Engineering. Inc.,Install New Main,Street / Roadway:Curb Ramp:Sewer,2025-01-08,2025-06-30,APPROVED,12025000,37.7525500,-122.4162983
25EXC-00653,LELAND AVE,CORA ST,DELTA ST,Pacific Gas & Electric,Replace Pole,Electric,2025-04-15,2025-05-13,APPROVED,8297000,37.7111704,-122.4036930
25EXC-00149,08TH AVE,LAWTON ST,MORAGA ST,"JDB Construction, INC.",Corrosion Testing,Street / Roadway:Sewer,2025-02-10,2025-05-09,APPROVED,399000,,
25EXC-00776,EXCELSIOR AVE,PARIS ST,LISBON ST,Pacific Gas & Electric,Replace Pole,Electric,2025-04-15,2025-05-13,APPROVED,5361000,37.7249249,-122.4308680
24EXC-03385,REDWOOD ST,START: 200-299 BLOCK,FRANKLIN ST,"Precision Engineering, Inc.",Corrosion Testing,Street / Roadway:Sewer,2024-10-21,2025-12-01,APPROVED,10956000,37.7806921,-122.4193222
24EXC-03385,FRANKLIN ST,MCALLISTER ST,,"Precision Engineering, Inc.",Corrosion Testing,Street / Roadway:Sewer,2024-10-21,2025-12-01,APPROVED,24467000,37.7919741,-122.4243594
25EXC-00886,22ND AVE,CABRILLO ST,FULTON ST,LC General Engineering & Construction,Repair Sidewalk,Sidewalk/Curb,2025-02-24,2026-12-31,ACTIVE,1138000,37.7466434,-122.4791872
24EXC-03385,GOUGH ST,OAK ST,,"Precision Engineering, Inc.",Corrosion Testing,Street / Roadway:Sewer,2024-10-21,2025-12-01,APPROVED,25906000,37.7914854,-122.4259439
24EXC-03385,FRANKLIN ST,REDWOOD ST,,"Precision Engineering, Inc.",Corrosion Testing,Street / Roadway:Sewer,2024-10-21,2025-12-01,APPROVED,24470000,37.7919741,-122.4243594
24EXC-03385,SCOTT ST,BUSH ST,PINE ST,"Precision Engineering, Inc.",Corrosion Testing,Street / Roadway:Sewer,2024-10-21,2025-12-01,APPROVED,11701000,37.7937285,-122.4398897
25EXC-00886,ANZA ST,18TH AVE,19TH AVE,LC General Engineering & Construction,Repair Sidewalk,Sidewalk/Curb,2025-02-24,2026-12-31,ACTIVE,2336000,37.7809708,-122.4481544
24EXC-03385,SCOTT ST,SUTTER ST,,"Precision Engineering, Inc.",Corrosion Testing,Street / Roadway:Sewer,2024-10-21,2025-12-01,APPROVED,26625000,37.7937285,-122.4398897
24EXC-03385,OAK ST,LAGUNA ST,BUCHANAN ST,"Precision Engineering, Inc.",Corrosion Testing,Street / Roadway:Sewer,2024-10-21,2025-12-01,APPROVED,9754000,37.7733210,-122.4360012
25EXC-00886,ANZA ST,21ST AVE,22ND AVE,LC General Engineering & Construction,Repair Sidewalk,Sidewalk/Curb,2025-02-24,2026-12-31,ACTIVE,2339000,37.7809708,-122.4481544
25EXC-00886,22ND AVE,ANZA ST,BALBOA ST,LC General Engineering & Construction,Repair Sidewalk,Sidewalk/Curb,2025-02-24,2026-12-31,ACTIVE,1136000,37.7466434,-122.4791872
25EXC-00886,22ND AVE,BALBOA ST,CABRILLO ST,LC General Engineering & Construction,Repair Sidewalk,Sidewalk/Curb,2025-02-24,2026-12-31,ACTIVE,1137000,37.7466434,-122.4791872
25EXC-00886,23RD AVE,ANZA ST,BALBOA ST,LC General Engineering & Construction,Repair Sidewalk,Sidewalk/Curb,2025-02-24,2026-12-31,ACTIVE,1215000,37.7643010,-122.4814968
25EXC-00886,BALBOA ST,18TH AVE,19TH AVE,LC General Engineering & Construction,Repair Sidewalk,Sidewalk/Curb,2025-02-24,2026-12-31,ACTIVE,2663000,37.7761254,-122.4884642
25EXC-00886,19TH AVE,ANZA ST,BALBOA ST,LC General Engineering & Construction,Repair Sidewalk,Sidewalk/Curb,2025-02-24,2026-12-31,ACTIVE,906000,37.7360964,-122.4751625
24EXC-03385,PAGE ST,FRANKLIN ST,GOUGH ST,"Precision Engineering, Inc.",Corrosion Testing,Street / Roadway:Sewer,2024-10-21,2025-12-01,APPROVED,10169000,37.7741980,-122.4216066
24EXC-03385,PAGE ST,GOUGH ST,OCTAVIA ST,"Precision Engineering, Inc.",Corrosion Testing,Street / Roadway:Sewer,2024-10-21,2025-12-01,APPROVED,10170000,37.7741980,-122.4216066
24EXC-03385,BUSH ST,SCOTT ST,,"Precision Engineering, Inc.",Corrosion Testing,Street / Roadway:Sewer,2024-10-21,2025-12-01,APPROVED,26627000,37.7907463,-122.4042176
24EXC-03385,PIERCE ST,POST ST,SUTTER ST,"Precision Engineering, Inc.",Corrosion Testing,Street / Roadway:Sewer,2024-10-21,2025-12-01,APPROVED,10430000,37.7800754,-122.4354426
24EXC-03385,BUSH ST,SCOTT ST,DIVISADERO ST,"Precision Engineering, Inc.",Corrosion Testing,Street / Roadway:Sewer,2024-10-21,2025-12-01,APPROVED,3456000,37.7907463,-122.4042176
25EXC-00886,20TH AVE,CABRILLO ST,FULTON ST,LC General Engineering & Construction,Repair Sidewalk,Sidewalk/Curb,2025-02-24,2026-12-31,ACTIVE,1004000,37.7301204,-122.4759831
24EXC-03385,FULTON ST,FRANKLIN ST,GOUGH ST,"Precision Engineering, Inc.",Corrosion Testing,Street / Roadway:Sewer,2024-10-21,2025-12-01,APPROVED,5882000,37.7776023,-122.4324154
24EXC-03385,GOUGH ST,PAGE ST,,"Precision Engineering, Inc.",Corrosion Testing,Street / Roadway:Sewer,2024-10-21,2025-12-01,APPROVED,24456000,37.7914854,-122.4259439
24EXC-03385,LILY ST,FRANKLIN ST,GOUGH ST,"Precision Engineering, Inc.",Corrosion Testing,Street / Roadway:Sewer,2024-10-21,2025-12-01,APPROVED,8334000,37.7740371,-122.4266375
24EXC-03385,SCOTT ST,POST ST,SUTTER ST,"Precision Engineering, Inc.",Corrosion Testing,Street / Roadway:Sewer,2024-10-21,2025-12-01,APPROVED,11699000,37.7937285,-122.4398897
24EXC-03385,SUTTER ST,SCOTT ST,DIVISADERO ST,"Precision Engineering, Inc.",Corrosion Testing,Street / Roadway:Sewer,2024-10-21,2025-12-01,APPROVED,12342000,37.7899382,-122.4030464
24EXC-03385,HAYES ST,OCTAVIA ST,LAGUNA ST,"Precision Engineering, Inc.",Corrosion Testing,Street / Roadway:Sewer,2024-10-21,2025-12-01,APPROVED,6817000,37.7765747,-122.4254657
24EXC-03385,FRANKLIN ST,GROVE ST,FULTON ST,"Precision Engineering, Inc.",Corrosion Testing,Street / Roadway:Sewer,2024-10-21,2025-12-01,APPROVED,5804000,37.7919741,-122.4243594
24EXC-03385,SCOTT ST,SUTTER ST,BUSH ST,"Precision Engineering, Inc.",Corrosion Testing,Street / Roadway:Sewer,2024-10-21,2025-12-01,APPROVED,11700000,37.7937285,-122.4398897
24EXC-03385,FRANKLIN ST,LILY ST,OAK ST,"Precision Engineering, Inc.",Corrosion Testing,Street / Roadway:Sewer,2024-10-21,2025-12-01,APPROVED,5797000,37.7919741,-122.4243594
24EXC-03385,HAYES ST,LAGUNA ST,,"Precision Engineering, Inc.",Corrosion Testing,Street / Roadway:Sewer,2024-10-21,2025-12-01,APPROVED,25932000,37.7765747,-122.4254657
25EXC-00886,BALBOA ST,22ND AVE,23RD AVE,LC General Engineering & Construction,Repair Sidewalk,Sidewalk/Curb,2025-02-24,2026-12-31,ACTIVE,2667000,37.7761254,-122.4884642
24EXC-03385,MCALLISTER ST,VAN NESS AVE,FRANKLIN ST,"Precision Engineering, Inc.",Corrosion Testing,Street / Roadway:Sewer,2024-10-21,2025-12-01,APPROVED,8895000,37.7756485,-122.4538957
24EXC-03385,OCTAVIA ST,OAK ST,HICKORY ST,"Precision Engineering, Inc.",Corrosion Testing,Street / Roadway:Sewer,2024-10-21,2025-12-01,APPROVED,9880201,37.7988642,-122.4291202
25EXC-00886,23RD AVE,BALBOA ST,CABRILLO ST,LC General Engineering & Construction,Repair Sidewalk,Sidewalk/Curb,2025-02-24,2026-12-31,ACTIVE,1216000,37.7643010,-122.4814968
24EXC-03385,GOUGH ST,ROSE ST,PAGE ST,"Precision Engineering, Inc.",Corrosion Testing,Street / Roadway:Sewer,2024-10-21,2025-12-01,APPROVED,6312000,37.7914854,-122.4259439
24EXC-03385,FRANKLIN ST,FULTON ST,,"Precision Engineering, Inc.",Corrosion Testing,Street / Roadway:Sewer,2024-10-21,2025-12-01,APPROVED,24472000,37.7919741,-122.4243594
25EXC-00886,18TH AVE,BALBOA ST,CABRILLO ST,LC General Engineering & Construction,Repair Sidewalk,Sidewalk/Curb,2025-02-24,2026-12-31,ACTIVE,832000,37.7426417,-122.4746087
25EXC-00886,ANZA ST,19TH AVE,20TH AVE,LC General Engineering & Construction,Repair Sidewalk,Sidewalk/Curb,2025-02-24,2026-12-31,ACTIVE,2337000,37.7809708,-122.4481544
25EXC-00886,21ST AVE,BALBOA ST,CABRILLO ST,LC General Engineering & Construction,Repair Sidewalk,Sidewalk/Curb,2025-02-24,2026-12-31,ACTIVE,1077000,37.7336006,-122.4770359
25EXC-00886,19TH AVE,BALBOA ST,CABRILLO ST,LC General Engineering & Construction,Repair Sidewalk,Sidewalk/Curb,2025-02-24,2026-12-31,ACTIVE,907000,37.7360964,-122.4751625
24EXC-03385,OCTAVIA ST,OAK ST,HICKORY ST,"Precision Engineering, Inc.",Corrosion Testing,Street / Roadway:Sewer,2024-10-21,2025-12-01,APPROVED,9880101,37.7988642,-122.4291202
25EXC-00886,21ST AVE,ANZA ST,BALBOA ST,LC General Engineering & Construction,Repair Sidewalk,Sidewalk/Curb,2025-02-24,2026-12-31,ACTIVE,1076000,37.7336006,-122.4770359
24EXC-03385,VAN NESS AVE,OAK ST,HICKORY ST,"Precision Engineering, Inc.",Corrosion Testing,Street / Roadway:Sewer,2024-10-21,2025-12-01,APPROVED,13143102,37.7962338,-122.4234105
24EXC-03385,VAN NESS AVE,MARKET ST \ SOUTH VAN NESS AVE,OAK ST,"Precision Engineering, Inc.",Corrosion Testing,Street / Roadway:Sewer,2024-10-21,2025-12-01,APPROVED,13143101,37.7962338,-122.4234105
25EXC-00886,23RD AVE,CABRILLO ST,FULTON ST,LC General Engineering & Construction,Repair Sidewalk,Sidewalk/Curb,2025-02-24,2026-12-31,ACTIVE,1217000,37.7643010,-122.4814968
25EXC-00886,CABRILLO ST,21ST AVE,22ND AVE,LC General Engineering & Construction,Repair Sidewalk,Sidewalk/Curb,2025-02-24,2026-12-31,ACTIVE,3488000,37.7739518,-122.4950556
24EXC-03385,OAK ST,GOUGH ST,OCTAVIA ST,"Precision Engineering, Inc.",Corrosion Testing,Street / Roadway:Sewer,2024-10-21,2025-12-01,APPROVED,9752000,37.7733210,-122.4360012
24EXC-03385,REDWOOD ST,FRANKLIN ST,END: 350-399 BLOCK,"Precision Engineering, Inc.",Corrosion Testing,Street / Roadway:Sewer,2024-10-21,2025-12-01,APPROVED,10957000,37.7806921,-122.4193222
24EXC-03385,MCALLISTER ST,LAGUNA ST,BUCHANAN ST,"Precision Engineering, Inc.",Corrosion Testing,Street / Roadway:Sewer,2024-10-21,2025-12-01,APPROVED,8898001,37.7756485,-122.4538957
24EXC-03385,FRANKLIN ST,GOLDEN GATE AVE,,"Precision Engineering, Inc.",Corrosion Testing,Street / Roadway:Sewer,2024-10-21,2025-12-01,APPROVED,24476000,37.7919741,-122.4243594
24EXC-03385,SUTTER ST,STEINER ST,PIERCE ST,"Precision Engineering, Inc.",Corrosion Testing,Street / Roadway:Sewer,2024-10-21,2025-12-01,APPROVED,12340000,37.7899382,-122.4030464
24EXC-03385,HICKORY ST,VAN NESS AVE,FRANKLIN ST,"Precision Engineering, Inc.",Corrosion Testing,Street / Roadway:Sewer,2024-10-21,2025-12-01,APPROVED,6898000,37.7748633,-122.4276449
24EXC-03385,LAGUNA ST,OAK ST,HICKORY ST,"Precision Engineering, Inc.",Corrosion Testing,Street / Roadway:Sewer,2024-10-21,2025-12-01,APPROVED,7946002,37.7922224,-122.4294654
24EXC-03385,FRANKLIN ST,OAK ST,HICKORY ST,"Precision Engineering, Inc.",Corrosion Testing,Street / Roadway:Sewer,2024-10-21,2025-12-01,APPROVED,5798000,37.7919741,-122.4243594
24EXC-03385,SUTTER ST,PIERCE ST,SCOTT ST,"Precision Engineering, Inc.",Corrosion Testing,Street / Roadway:Sewer,2024-10-21,2025-12-01,APPROVED,12341000,37.7899382,-122.4030464
25EXC-00886,CABRILLO ST,18TH AVE,19TH AVE,LC General Engineering & Construction,Repair Sidewalk,Sidewalk/Curb,2025-02-24,2026-12-31,ACTIVE,3485000,37.7739518,-122.4950556
24EXC-03385,FRANKLIN ST,MCALLISTER ST,REDWOOD ST,"Precision Engineering, Inc.",Corrosion Testing,Street / Roadway:Sewer,2024-10-21,2025-12-01,APPROVED,5806000,37.7919741,-122.4243594
24EXC-03385,LAGUNA ST,OAK ST,,"Precision Engineering, Inc.",Corrosion Testing,Street / Roadway:Sewer,2024-10-21,2025-12-01,APPROVED,30069000,37.7922224,-122.4294654
25EXC-00886,BALBOA ST,20TH AVE,21ST AVE,LC General Engineering & Construction,Repair Sidewalk,Sidewalk/Curb,2025-02-24,2026-12-31,ACTIVE,2665000,37.7761254,-122.4884642
24EXC-03385,FRANKLIN ST,PAGE ST,LILY ST,"Precision Engineering, Inc.",Corrosion Testing,Street / Roadway:Sewer,2024-10-21,2025-12-01,APPROVED,5796000,37.7919741,-122.4243594
24EXC-03385,GOUGH ST,HICKORY ST,FELL ST,"Precision Engineering, Inc.",Corrosion Testing,Street / Roadway:Sewer,2024-10-21,2025-12-01,APPROVED,6316000,37.7914854,-122.4259439
24EXC-03385,GOLDEN GATE AVE,FRANKLIN ST,GOUGH ST,"Precision Engineering, Inc.",Corrosion Testing,Street / Roadway:Sewer,2024-10-21,2025-12-01,APPROVED,6267000,37.7763066,-122.4576063
25EXC-00886,21ST AVE,CABRILLO ST,FULTON ST,LC General Engineering & Construction,Repair Sidewalk,Sidewalk/Curb,2025-02-24,2026-12-31,ACTIVE,1078000,37.7336006,-122.4770359
25EXC-00886,18TH AVE,CABRILLO ST,FULTON ST,LC General Engineering & Construction,Repair Sidewalk,Sidewalk/Curb,2025-02-24,2026-12-31,ACTIVE,833000,37.7426417,-122.4746087
25EXC-00886,FULTON ST,19TH AVE,20TH AVE,LC General Engineering & Construction,Repair Sidewalk,Sidewalk/Curb,2025-02-24,2026-12-31,ACTIVE,5926000,37.7776023,-122.4324154
25EXC-00886,20TH AVE,ANZA ST,BALBOA ST,LC General Engineering & Construction,Repair Sidewalk,Sidewalk/Curb,2025-02-24,2026-12-31,ACTIVE,1002000,37.7301204,-122.4759831
24EXC-03385,OCTAVIA ST,HAYES ST,IVY ST,"Precision Engineering, Inc.",Corrosion Testing,Street / Roadway:Sewer,2024-10-21,2025-12-01,APPROVED,9884000,37.7988642,-122.4291202
24EXC-03385,LAGUNA ST,HAYES ST,IVY ST,"Precision Engineering, Inc.",Corrosion Testing,Street / Roadway:Sewer,2024-10-21,2025-12-01,APPROVED,7950000,37.7922224,-122.4294654
24EXC-03385,FRANKLIN ST,GOLDEN GATE AVE,ELM ST,"Precision Engineering, Inc.",Corrosion Testing,Street / Roadway:Sewer,2024-10-21,2025-12-01,APPROVED,5808000,37.7919741,-122.4243594
24EXC-03385,BUSH ST,PIERCE ST,SCOTT ST,"Precision Engineering, Inc.",Corrosion Testing,Street / Roadway:Sewer,2024-10-21,2025-12-01,APPROVED,3455000,37.7907463,-122.4042176
24EXC-03385,OAK ST,FRANKLIN ST,GOUGH ST,"Precision Engineering, Inc.",Corrosion Testing,Street / Roadway:Sewer,2024-10-21,2025-12-01,APPROVED,9751000,37.7733210,-122.4360012
24EXC-03385,OCTAVIA ST,LILY ST,OAK ST,"Precision Engineering, Inc.",Corrosion Testing,Street / Roadway:Sewer,2024-10-21,2025-12-01,APPROVED,9879201,37.7988642,-122.4291202
24EXC-03385,HAYES ST,LAGUNA ST,BUCHANAN ST,"Precision Engineering, Inc.",Corrosion Testing,Street / Roadway:Sewer,2024-10-21,2025-12-01,APPROVED,6818000,37.7765747,-122.4254657
25EXC-00886,FULTON ST,22ND AVE,23RD AVE,LC General Engineering & Construction,Repair Sidewalk,Sidewalk/Curb,2025-02-24,2026-12-31,ACTIVE,5929000,37.7776023,-122.4324154
24EXC-03385,LAGUNA ST,LILY ST,OAK ST,"Precision Engineering, Inc.",Corrosion Testing,Street / Roadway:Sewer,2024-10-21,2025-12-01,APPROVED,7945000,37.7922224,-122.4294654
25EXC-00886,18TH AVE,ANZA ST,BALBOA ST,LC General Engineering & Construction,Repair Sidewalk,Sidewalk/Curb,2025-02-24,2026-12-31,ACTIVE,831000,37.7426417,-122.4746087
25EXC-00886,19TH AVE,CABRILLO ST,FULTON ST,LC General Engineering & Construction,Repair Sidewalk,Sidewalk/Curb,2025-02-24,2026-12-31,ACTIVE,908000,37.7360964,-122.4751625
24EXC-03385,OCTAVIA ST,LILY ST,OAK ST,"Precision Engineering, Inc.",Corrosion Testing,Street / Roadway:Sewer,2024-10-21,2025-12-01,APPROVED,9879101,37.7988642,-122.4291202
24EXC-03385,GOUGH ST,OAK ST,HICKORY ST,"Precision Engineering, Inc.",Corrosion Testing,Street / Roadway:Sewer,2024-10-21,2025-12-01,APPROVED,6315000,37.7914854,-122.4259439
25EXC-00886,CABRILLO ST,19TH AVE,20TH AVE,LC General Engineering & Construction,Repair Sidewalk,Sidewalk/Curb,2025-02-24,2026-12-31,ACTIVE,3486000,37.7739518,-122.4950556
24EXC-03385,FRANKLIN ST,PAGE ST,,"Precision Engineering, Inc.",Corrosion Testing,Street / Roadway:Sewer,2024-10-21,2025-12-01,APPROVED,24444000,37.7919741,-122.4243594
24EXC-03385,LAGUNA ST,LINDEN ST,HAYES ST,"Precision Engineering, Inc.",Corrosion Testing,Street / Roadway:Sewer,2024-10-21,2025-12-01,APPROVED,7949000,37.7922224,-122.4294654
25EXC-00886,CABRILLO ST,22ND AVE,23RD AVE,LC General Engineering & Construction,Repair Sidewalk,Sidewalk/Curb,2025-02-24,2026-12-31,ACTIVE,3489000,37.7739518,-122.4950556
24EXC-03385,OAK ST,OCTAVIA ST,,"Precision Engineering, Inc.",Corrosion Testing,Street / Roadway:Sewer,2024-10-21,2025-12-01,APPROVED,30070000,37.7733210,-122.4360012
25EXC-01002,TOMPKINS AVE,ELLSWORTH ST,GATES ST,Pacific Gas & Electric,Replace Pole,Electric,2025-04-09,2025-05-07,APPROVED,12634000,37.7371106,-122.4141144
25EXC-00808,25TH ST,SAN BRUNO AVE,UTAH ST,Pacific Gas & Electric,Replace Pole,Electric,2025-04-10,2025-05-08,APPROVED,1421000,37.7529438,-122.3863617
25EXC-01013,RUSSIA AVE,DUBLIN ST,LA GRANDE AVE,Pacific Gas & Electric,Replace Pole,Electric,2025-04-22,2025-05-20,APPROVED,11200000,37.7187247,-122.4311888
25EXC-01002,GATES ST,JARBOE AVE,TOMPKINS AVE,Pacific Gas & Electric,Replace Pole,Electric,2025-04-09,2025-05-07,APPROVED,6025000,37.7361584,-122.4141892
25EXC-01027,LARKIN ST,SACRAMENTO ST,CLAY ST,Ronan Construction Inc.,Install New Main,Pavement Preservation:Sidewalk/Curb:Sewer,2025-03-01,2026-04-30,APPROVED,8142000,37.7782138,-122.4165219
25EXC-01027,LEAVENWORTH ST,ELLIS ST,OFARRELL ST,Ronan Construction Inc.,Install New Main,Pavement Preservation:Sidewalk/Curb:Sewer,2025-03-01,2026-04-30,APPROVED,8242000,37.7929927,-122.4161269
25EXC-01027,HARRISON ST,GORDON ST,09TH ST,Ronan Construction Inc.,Install New Main,Pavement Preservation:Sidewalk/Curb:Sewer,2025-03-01,2026-04-30,APPROVED,6733000,37.7846833,-122.3947087
25EXC-01027,JONES ST,PLEASANT ST,CLAY ST,Ronan Construction Inc.,Install New Main,Pavement Preservation:Sidewalk/Curb:Sewer,2025-03-01,2026-04-30,APPROVED,7580000,37.7816214,-122.4121472
25EXC-01027,CLAY ST,LEAVENWORTH ST,,Ronan Construction Inc.,Install New Main,Pavement Preservation:Sidewalk/Curb:Sewer,2025-03-01,2026-04-30,APPROVED,25249000,37.7939619,-122.4087337
25EXC-01027,LEAVENWORTH ST,GOLDEN GATE AVE,TURK ST,Ronan Construction Inc.,Install New Main,Pavement Preservation:Sidewalk/Curb:Sewer,2025-03-01,2026-04-30,APPROVED,8239000,37.7929927,-122.4161269
25EXC-01027,CLEMENTINA ST,SUMNER ST,08TH ST,Ronan Construction Inc.,Install New Main,Pavement Preservation:Sidewalk/Curb:Sewer,2025-03-01,2026-04-30,APPROVED,4202000,37.7757163,-122.4102301
25EXC-01027,JONES ST,CLAY ST,WASHINGTON ST,Ronan Construction Inc.,Install New Main,Pavement Preservation:Sidewalk/Curb:Sewer,2025-03-01,2026-04-30,APPROVED,7581000,37.7816214,-122.4121472
25EXC-01027,KAPLAN LN,CLEMENTINA ST,END: 1-99 BLOCK,Ronan Construction Inc.,Install New Main,Pavement Preservation:Sidewalk/Curb:Sewer,2025-03-01,2026-04-30,APPROVED,7741000,37.7849660,-122.3990255
25EXC-01027,CLAY ST,POLK ST,VAN NESS AVE,Ronan Construction Inc.,Install New Main,Pavement Preservation:Sidewalk/Curb:Sewer,2025-03-01,2026-04-30,APPROVED,4106000,37.7939619,-122.4087337
25EXC-01027,CLAY ST,LARKIN ST,POLK ST,Ronan Construction Inc.,Install New Main,Pavement Preservation:Sidewalk/Curb:Sewer,2025-03-01,2026-04-30,APPROVED,4105000,37.7939619,-122.4087337
25EXC-01027,STEVENSON ST,START: 700-709 BLOCK,08TH ST,Ronan Construction Inc.,Install New Main,Pavement Preservation:Sidewalk/Curb:Sewer,2025-03-01,2026-04-30,APPROVED,12173000,37.7885529,-122.4011753
25EXC-01027,WASHINGTON ST,HYDE ST,LARKIN ST,Ronan Construction Inc.,Install New Main,Pavement Preservation:Sidewalk/Curb:Sewer,2025-03-01,2026-04-30,APPROVED,13430000,37.7953981,-122.4043766
25EXC-01027,HARRISON ST,08TH ST,GORDON ST,Ronan Construction Inc.,Install New Main,Pavement Preservation:Sidewalk/Curb:Sewer,2025-03-01,2026-04-30,APPROVED,6732000,37.7846833,-122.3947087
25EXC-01027,CLAY ST,HYDE ST,TORRENS CT,Ronan Construction Inc.,Install New Main,Pavement Preservation:Sidewalk/Curb:Sewer,2025-03-01,2026-04-30,APPROVED,4104001,37.7939619,-122.4087337
